LA No.,LA Name,LAEstab (at Apr 19),School Name (at Apr 19),Eligible Pupils,Total Allocation,October/February payment,April payment
840,Durham,8402021,Sacriston Academy,186,17860,10418,7442
840,Durham,8402023,New Seaham Academy,225,18250,10646,7604
840,Durham,8402136,Ouston Primary School,234,18340,10698,7642
840,Durham,8402225,South Stanley Infant and Nursery School,90,16900,9858,7042
840,Durham,8402226,South Stanley Junior School,175,17750,10354,7396
840,Durham,8402310,Hartside Primary Academy,177,17770,10366,7404
840,Durham,8402379,Tudhoe Colliery Primary School,172,17720,10337,7383
840,Durham,8402397,Cleves Cross Primary and Nursery School Academy,178,17780,10372,7408
840,Durham,8403517,Ribbon School,421,20210,11789,8421
840,Durham,8403526,Greenland Community Primary School,277,18770,10949,7821
840,Durham,8407029,Hope Wood Academy,75,16750,9771,6979
840,Durham,8402233,Bloemfontein Primary School,136,17360,10127,7233
840,Durham,8402020,St Josephs RC Primary School,114,17140,9998,7142
840,Durham,8402002,Chilton Academy,228,18280,10663,7617
841,Darlington,8412001,Firthmoor Primary School,246,18460,10768,7692
841,Darlington,8412002,West Park Academy,356,19560,11410,8150
841,Darlington,8412005,The Rydal Academy,463,20630,12034,8596
841,Darlington,8412006,Skerne Park Academy,304,19040,11107,7933
841,Darlington,8412008,Northwood Primary School,301,19010,11089,7921
841,Darlington,8412009,Corporation Road Community Primary School,231,18310,10681,7629
841,Darlington,8412647,Abbey Junior School,353,19530,11393,8137
841,Darlington,8412648,Mount Pleasant Primary School,193,17930,10459,7471
841,Darlington,8412656,Gurney Pease Academy,157,17570,10249,7321
841,Darlington,8412659,Springfield Academy,182,17820,10395,7425
841,Darlington,8412663,Reid Street Primary School,356,19560,11410,8150
841,Darlington,8412666,Abbey Infants School,180,17800,10383,7417
841,Darlington,8412668,Mowden Infant School,181,17810,10389,7421
841,Darlington,8412670,Mowden Junior School,305,19050,11113,7937
841,Darlington,8412732,Hurworth Primary School,182,17820,10395,7425
841,Darlington,8412740,Heathfield Primary School,351,19510,11381,8129
841,Darlington,8413002,St Marys Cockerton Church of England Primary School,177,17770,10366,7404
841,Darlington,8413132,Heighington Church of England Primary School,254,18540,10815,7725
841,Darlington,8413133,High Coniscliffe CofE Primary School,93,16930,9876,7054
841,Darlington,8413211,Bishopton Redmarshall CofE Primary School,83,16830,9818,7012
841,Darlington,8413306,St Johns Church of England Academy,174,17740,10348,7392
841,Darlington,8413307,Holy Family RC Primary School,179,17790,10378,7412
841,Darlington,8413308,St Augustines RC Primary School,178,17780,10372,7408
841,Darlington,8413512,St Bedes RC Primary School,229,18290,10669,7621
841,Darlington,8413514,St. Georges Church of England Academy,293,18930,11043,7887
841,Darlington,8416000,Polam Hall School,288,18880,11013,7867
841,Darlington,8417000,Marchbank Free School,46,16460,9602,6858
841,Darlington,8417031,Beaumont Hill Academy,79,16790,9794,6996
845,East Sussex,8451111,College Central,17,16170,9433,6737
845,East Sussex,8452001,Heron Park Primary Academy,348,19480,11363,8117
845,East Sussex,8452002,Oakwood Primary Academy,327,19270,11241,8029
845,East Sussex,8452003,Glenleigh Park Primary Academy,328,19280,11247,8033
845,East Sussex,8452004,King Offa Primary Academy,355,19550,11404,8146
845,East Sussex,8452006,Ore Village Primary Academy,265,18650,10879,7771
845,East Sussex,8452007,West St Leonards Primary Academy,358,19580,11422,8158
845,East Sussex,8452008,Burfield Academy,52,16520,9637,6883
845,East Sussex,8452009,High Cliff Academy,73,16730,9759,6971
845,East Sussex,8452010,Pebsham Primary Academy,167,17670,10308,7362
845,East Sussex,8452011,The Baird Primary Academy,356,19560,11410,8150
845,East Sussex,8452012,Ark Blacklands Primary Academy,474,20740,12098,8642
845,East Sussex,8452013,Ark Little Ridge Primary Academy,368,19680,11480,8200
845,East Sussex,8452016,All Saints CE Junior School,227,18270,10658,7612
845,East Sussex,8452017,St Leonards Church of England Primary Academy,351,19510,11381,8129
845,East Sussex,8452019,Sir Henry Fermor Church of England Primary School,310,19100,11142,7958
845,East Sussex,8452020,Hawkes Farm Academy,355,19550,11404,8146
845,East Sussex,8452021,Breakwater Academy,175,17750,10354,7396
845,East Sussex,8452022,Ocklynge Junior School,793,23930,13959,9971
845,East Sussex,8452023,White House Academy,146,17460,10185,7275
845,East Sussex,8452024,Phoenix Academy,148,17480,10197,7283
845,East Sussex,8452025,Ark Castledown Primary Academy,326,19260,11235,8025
845,East Sussex,8452115,Jarvis Brook Primary School,155,17550,10238,7312
845,East Sussex,8452127,Silverdale Primary Academy,534,21340,12448,8892
845,East Sussex,8452128,Dudley Infant Academy,119,17190,10028,7162
845,East Sussex,8452140,Parkland Junior School,236,18360,10710,7650
845,East Sussex,8452141,Parkland Infant School,119,17190,10028,7162
845,East Sussex,8452148,Churchwood Primary Academy,174,17740,10348,7392
845,East Sussex,8452154,Shinewater Primary School,331,19310,11264,8046
845,East Sussex,8452161,Robsack Wood Primary Academy,361,19610,11439,8171
845,East Sussex,8452170,Hollington Primary Academy,328,19280,11247,8033
845,East Sussex,8453090,St Pauls Church of England Academy,532,21320,12437,8883
845,East Sussex,8453350,Christ Church CofE Primary and Nursery Academy,339,19390,11311,8079
845,East Sussex,8452026,Rye Community Primary School,329,19290,11253,8037
845,East Sussex,8454002,Gildredge House,240,18400,10733,7667
845,East Sussex,8454064,The Cavendish School,210,18100,10558,7542
845,East Sussex,8457011,St Marys School,4,4000,2333,1667
845,East Sussex,8457017,Glyne Gap School,47,16470,9608,6862
845,East Sussex,8457024,Torfield School,72,16720,9753,6967
845,East Sussex,8457030,The South Downs School,107,17070,9958,7112
845,East Sussex,8457035,New Horizons School,26,16260,9485,6775
845,East Sussex,8457036,Cuckmere House School,25,16250,9479,6771
845,East Sussex,8452130,Langney Primary Academy,462,20620,12028,8592
845,East Sussex,8453345,Annecy Catholic Primary School,154,17540,10232,7308
846,Brighton and Hove,8462008,Bilingual Primary School - Brighton & Hove,347,19470,11358,8112
846,Brighton and Hove,8462011,City Academy Whitehawk,320,19200,11200,8000
850,Hampshire,8502024,St Columba Church of England Primary Academy,151,17510,10214,7296
850,Hampshire,8502029,Front Lawn Primary Academy,344,19440,11340,8100
850,Hampshire,8502032,The Holme Church of England Primary School,118,17180,10022,7158
850,Hampshire,8502037,Frogmore Junior School,172,17720,10337,7383
850,Hampshire,8502038,Berewood Primary School,190,17900,10442,7458
850,Hampshire,8502045,Sun Hill Junior School,215,18150,10588,7562
850,Hampshire,8502077,Fawley Infant School,51,16510,9631,6879
850,Hampshire,8502522,Farnborough Grange Nursery & Infant Community School,115,17150,10004,7146
850,Hampshire,8502631,Gomer Junior School,243,18430,10751,7679
850,Hampshire,8503017,Bransgore Church of England Primary School,294,18940,11048,7892
850,Hampshire,8503079,Hook-With-Warsash Church of England Academy,359,19590,11428,8162
850,Hampshire,8503365,Milford-on-Sea Church of England Primary School,282,18820,10978,7842
850,Hampshire,8503662,St Anthonys Catholic Primary School,186,17860,10418,7442
850,Hampshire,8505201,The Priory Primary School,146,17460,10185,7275
850,Hampshire,8505204,St Josephs Catholic Primary School,415,20150,11754,8396
850,Hampshire,8505205,Blackfield Primary School,470,20700,12075,8625
850,Hampshire,8502021,Bordon Junior School,252,18520,10803,7717
850,Hampshire,8502616,Rowner Junior,239,18390,10728,7662
850,Hampshire,8502048,Oakfield Primary Academy,183,17830,10401,7429
851,Portsmouth,8512000,The Flying Bull Academy,353,19530,11393,8137
851,Portsmouth,8512001,Beacon View Primary Academy,283,18830,10984,7846
851,Portsmouth,8512003,The Victory Primary School,367,19670,11474,8196
851,Portsmouth,8512004,Ark Ayrton Primary Academy,326,19260,11235,8025
851,Portsmouth,8512005,Arundel Court Primary Academy and Nursery,443,20430,11918,8512
851,Portsmouth,8512007,Ark Dickens Primary Academy,341,19410,11323,8087
851,Portsmouth,8512011,Stamshaw Junior School,249,18490,10786,7704
851,Portsmouth,8512010,Lyndhurst Junior School,473,20730,12093,8637
851,Portsmouth,8512644,Court Lane Junior Academy,478,20780,12122,8658
851,Portsmouth,8512653,College Park Infant School,239,18390,10728,7662
851,Portsmouth,8512658,Northern Parade Junior School,443,20430,11918,8512
851,Portsmouth,8512659,Northern Parade Infant School,242,18420,10745,7675
851,Portsmouth,8512666,Solent Junior School,371,19710,11498,8212
851,Portsmouth,8512670,Westover Primary School,312,19120,11153,7967
851,Portsmouth,8512674,Highbury Primary School,340,19400,11317,8083
851,Portsmouth,8512677,Court Lane Infant Academy,241,18410,10739,7671
851,Portsmouth,8512679,Solent Infant School,180,17800,10383,7417
851,Portsmouth,8512690,Gatcombe Park Primary School,175,17750,10354,7396
851,Portsmouth,8512694,Langstone Infant School,167,17670,10308,7362
851,Portsmouth,8512700,Langstone Junior Academy,382,19820,11562,8258
851,Portsmouth,8512707,Isambard Brunel Junior School,293,18930,11043,7887
851,Portsmouth,8512709,Moorings Way Infant School,68,16680,9730,6950
851,Portsmouth,8512715,Meon Junior School,355,19550,11404,8146
851,Portsmouth,8512720,Newbridge Junior School,476,20760,12110,8650
851,Portsmouth,8517000,Cliffdale Primary School,110,17100,9975,7125
851,Portsmouth,8517471,Mary Rose School,45,16450,9596,6854
851,Portsmouth,8512654,Meon Infant School,120,17200,10033,7167
851,Portsmouth,8512697,Penhale Infant School & Nursery,151,17510,10214,7296
851,Portsmouth,8512645,Meredith Infant School,171,17710,10331,7379
851,Portsmouth,8512698,Stamshaw Infant Academy,169,17690,10319,7371
852,Southampton,8522002,Thornhill Primary School,322,19220,11212,8008
852,Southampton,8522005,Hollybrook Junior School,233,18330,10693,7637
852,Southampton,8522006,Hightown Primary School,164,17640,10290,7350
852,Southampton,8522007,Tanners Brook Primary School,435,20350,11871,8479
852,Southampton,8522009,Weston Park Primary School,513,21130,12326,8804
852,Southampton,8522404,Beechwood Junior School,349,19490,11369,8121
852,Southampton,8522418,Ludlow Junior School,574,21740,12682,9058
852,Southampton,8522419,Ludlow Infant Academy,179,17790,10378,7412
852,Southampton,8522421,Portswood Primary School,389,19890,11603,8287
852,Southampton,8522425,Shirley Junior School,358,19580,11422,8158
852,Southampton,8522426,Shirley Infant School,179,17790,10378,7412
852,Southampton,8522429,Sholing Junior School,327,19270,11241,8029
852,Southampton,8522430,Sholing Infant School,177,17770,10366,7404
852,Southampton,8522437,Glenfield Infant School,180,17800,10383,7417
852,Southampton,8522452,Wordsworth Primary School,501,21010,12256,8754
852,Southampton,8522458,Hollybrook Infant School,120,17200,10033,7167
852,Southampton,8522460,Kanes Hill Primary School,356,19560,11410,8150
852,Southampton,8522461,Townhill Infant School,166,17660,10302,7358
852,Southampton,8523202,Freemantle Church of England Community Academy,300,19000,11083,7917
852,Southampton,8523656,Springhill Catholic Primary School,594,21940,12798,9142
852,Southampton,8523659,Harefield Primary School,352,19520,11387,8133
852,Southampton,8527050,Rosewood Free School,22,16220,9462,6758
852,Southampton,8522008,Hope Community School Southampton,30,16300,9508,6792
855,Leicestershire,8552000,Ab Kettleby School,56,16560,9660,6900
855,Leicestershire,8552002,Meadowdale Primary School,337,19370,11299,8071
855,Leicestershire,8552004,Asfordby Hill Primary School,155,17550,10238,7312
855,Leicestershire,8552005,Millfield L.E.A.D. Academy,348,19480,11363,8117
855,Leicestershire,8552006,Albert Village Primary School,171,17710,10331,7379
855,Leicestershire,8552008,Beacon Academy,298,18980,11072,7908
855,Leicestershire,8552009,Thornton Primary School,100,17000,9917,7083
855,Leicestershire,8552010,St Marys Church of England Primary School,158,17580,10255,7325
855,Leicestershire,8552011,St Simon and St Jude CofE Primary School,179,17790,10378,7412
855,Leicestershire,8552012,Glenfield Primary School,345,19450,11346,8104
855,Leicestershire,8552013,Barlestone Church of England Primary School,155,17550,10238,7312
855,Leicestershire,8552014,Woolden Hill Primary School,176,17760,10360,7400
855,Leicestershire,8552016,Bringhurst Primary School,138,17380,10138,7242
855,Leicestershire,8552018,Great Dalby School,123,17230,10051,7179
855,Leicestershire,8552021,Christ Church & Saint Peters Cofe Primary School,358,19580,11422,8158
855,Leicestershire,8552027,Fossebrook Primary School,72,16720,9753,6967
855,Leicestershire,8552029,Cosby Primary School,187,17870,10424,7446
855,Leicestershire,8552033,Blackfordby St Margarets Church of England Primary School,82,16820,9812,7008
855,Leicestershire,8552035,Sherard Primary School,284,18840,10990,7850
855,Leicestershire,8552037,Gaddesby Primary School,118,17180,10022,7158
855,Leicestershire,8552044,Hinckley Parks Primary School,413,20130,11743,8387
855,Leicestershire,8552055,Kirby Muxloe Primary School,353,19530,11393,8137
855,Leicestershire,8552062,Rendell Primary School,288,18880,11013,7867
855,Leicestershire,8552069,Mercenfeld Primary School,284,18840,10990,7850
855,Leicestershire,8552070,Stanton Under Bardon Community Primary School,87,16870,9841,7029
855,Leicestershire,8552072,Brownlow Primary School,498,20980,12238,8742
855,Leicestershire,8552073,The Grove Primary School,164,17640,10290,7350
855,Leicestershire,8552076,Greystoke Primary School,291,18910,11031,7879
855,Leicestershire,8552079,Newtown Linford Primary School,83,16830,9818,7012
855,Leicestershire,8552083,Oakthorpe Primary School,76,16760,9777,6983
855,Leicestershire,8552085,Ratby Primary School,312,19120,11153,7967
855,Leicestershire,8552088,Seagrave Village Primary School,85,16850,9829,7021
855,Leicestershire,8552092,Newcroft Primary Academy,263,18630,10868,7762
855,Leicestershire,8552094,Somerby Primary School,30,16300,9508,6792
855,Leicestershire,8552110,Church Hill Infant School,179,17790,10378,7412
855,Leicestershire,8552138,Glenmere Community Primary School,175,17750,10354,7396
855,Leicestershire,8552141,Enderby Danemill Primary School,355,19550,11404,8146
855,Leicestershire,8552146,Stafford Leys Community Primary School,535,21350,12454,8896
855,Leicestershire,8552149,Fernvale Primary School,184,17840,10407,7433
855,Leicestershire,8552157,Eastfield Primary School,256,18560,10827,7733
855,Leicestershire,8552158,Fairfield Community Primary School,185,17850,10413,7437
855,Leicestershire,8552161,The Merton Primary School,352,19520,11387,8133
855,Leicestershire,8552162,Battling Brook Primary School,527,21270,12408,8862
855,Leicestershire,8552164,Thringstone Primary School,147,17470,10191,7279
855,Leicestershire,8552166,John Wycliffe Primary School,233,18330,10693,7637
855,Leicestershire,8552167,Ashby Willesley Primary School,359,19590,11428,8162
855,Leicestershire,8552168,Broomfield Community Primary School,202,18020,10512,7508
855,Leicestershire,8552169,Outwoods Edge Primary School,357,19570,11416,8154
855,Leicestershire,8552173,Huncote Community Primary School,149,17490,10203,7287
855,Leicestershire,8552176,Farndon Fields Primary School,171,17710,10331,7379
855,Leicestershire,8552179,Ridgeway Primary Academy,252,18520,10803,7717
855,Leicestershire,8552181,Kingsway Primary School,266,18660,10885,7775
855,Leicestershire,8552185,Swallowdale Primary School and Community Centre,316,19160,11177,7983
855,Leicestershire,8552187,Captains Close Primary School,144,17440,10173,7267
855,Leicestershire,8552190,The Meadow Community Primary School,353,19530,11393,8137
855,Leicestershire,8552192,Robert Bakewell Primary School and Community Centre,291,18910,11031,7879
855,Leicestershire,8552194,Mountfields Lodge School,437,20370,11883,8487
855,Leicestershire,8552321,Ashby Hill Top Primary School,266,18660,10885,7775
855,Leicestershire,8552322,Glen Hills Primary School,440,20400,11900,8500
855,Leicestershire,8552326,Sileby Redlands Community Primary School,298,18980,11072,7908
855,Leicestershire,8552330,Old Mill Primary School,338,19380,11305,8075
855,Leicestershire,8552331,Holywell Primary School,361,19610,11439,8171
855,Leicestershire,8552333,Brocks Hill Primary School,372,19720,11503,8217
855,Leicestershire,8552338,Langmoor Primary School Oadby,184,17840,10407,7433
855,Leicestershire,8552351,Richmond Primary School,374,19740,11515,8225
855,Leicestershire,8552355,Parkland Primary School South Wigston,446,20460,11935,8525
855,Leicestershire,8552357,Launde Primary School,547,21470,12524,8946
855,Leicestershire,8552358,Red Hill Field Primary School,244,18440,10757,7683
855,Leicestershire,8552360,Broom Leys School,473,20730,12093,8637
855,Leicestershire,8552367,Highcliffe Primary School and Community Centre,363,19630,11451,8179
855,Leicestershire,8552368,Riverside Community Primary School Birstall,417,20170,11766,8404
855,Leicestershire,8552369,Little Hill Primary,361,19610,11439,8171
855,Leicestershire,8552374,Cobden Primary School & Community Centre,327,19270,11241,8029
855,Leicestershire,8552376,Lady Jane Grey Primary School,186,17860,10418,7442
855,Leicestershire,8552380,The Pastures Primary School,259,18590,10844,7746
855,Leicestershire,8552382,Stonebow Primary School Loughborough,277,18770,10949,7821
855,Leicestershire,8552383,Hallbrook Primary School,198,17980,10488,7492
855,Leicestershire,8553006,The Pochin School,121,17210,10039,7171
855,Leicestershire,8553008,Barrow Hall Orchard Church of England Primary School,443,20430,11918,8512
855,Leicestershire,8553009,Barwell Church of England Academy,262,18620,10862,7758
855,Leicestershire,8553014,Bottesford Church of England Primary School,250,18500,10792,7708
855,Leicestershire,8553028,Croxton Kerrial Church of England Primary School,72,16720,9753,6967
855,Leicestershire,8553035,Frisby Church of England Primary School,101,17010,9923,7087
855,Leicestershire,8553041,Higham-on-the-Hill Church of England Primary School,70,16700,9742,6958
855,Leicestershire,8553046,Husbands Bosworth Church of England Primary School,68,16680,9730,6950
855,Leicestershire,8553048,Kibworth Church of England Primary School,492,20920,12203,8717
855,Leicestershire,8553052,Claybrooke Primary School,76,16760,9777,6983
855,Leicestershire,8553056,Lubenham All Saints Church of England Primary School,50,16500,9625,6875
855,Leicestershire,8553058,Market Harborough Church of England Academy,336,19360,11293,8067
855,Leicestershire,8553059,"Great Bowden Academy, A Church of England Primary School",120,17200,10033,7167
855,Leicestershire,8553060,Measham Church of England Primary School,173,17730,10343,7387
855,Leicestershire,8553067,Old Dalby Church of England Primary School,109,17090,9969,7121
855,Leicestershire,8553069,Queniborough Church of England Primary School,172,17720,10337,7383
855,Leicestershire,8553072,Redmile Church of England Primary School,84,16840,9823,7017
855,Leicestershire,8553074,Rothley Church of England Primary School,349,19490,11369,8121
855,Leicestershire,8553078,Sharnford Church of England Primary School,56,16560,9660,6900
855,Leicestershire,8553085,South Kilworth Church of England Primary School,61,16610,9689,6921
855,Leicestershire,8553089,Swannington Church of England Primary School,71,16710,9748,6962
855,Leicestershire,8553093,Thrussington Church of England Primary School,68,16680,9730,6950
855,Leicestershire,8553094,Church Hill Church of England Junior School,334,19340,11282,8058
855,Leicestershire,8553095,"Thurnby, St Lukes Church of England Primary School",209,18090,10553,7537
855,Leicestershire,8553097,Tugby Church of England Primary School,69,16690,9736,6954
855,Leicestershire,8553098,Ullesthorpe Church of England Primary School,74,16740,9765,6975
855,Leicestershire,8553100,Waltham on the Wolds Church of England Primary School,59,16590,9678,6912
855,Leicestershire,8553213,Townlands Church of England Primary School,247,18470,10774,7696
855,Leicestershire,8553302,"St Marys Church of England Primary School, Bitteswell",98,16980,9905,7075
855,Leicestershire,8553305,Viscount Beaumonts Church of England Primary School,74,16740,9765,6975
855,Leicestershire,8553310,"St Andrews Church of England Primary School, North Kilworth",72,16720,9753,6967
855,Leicestershire,8553312,St Michael & All Angels Church of England Primary School,83,16830,9818,7012
855,Leicestershire,8553314,"All Saints Church of England Primary School, Sapcote",174,17740,10348,7392
855,Leicestershire,8553319,"St Margarets Church of England Primary School, Stoke Golding",191,17910,10448,7462
855,Leicestershire,8553325,Gilmorton Chandler Church of England Primary School,182,17820,10395,7425
855,Leicestershire,8553329,Swinford Church of England Primary School,89,16890,9853,7037
855,Leicestershire,8553332,Church Langton Church of England Primary School,170,17700,10325,7375
855,Leicestershire,8553333,St Peters Church of England Primary School Wymondham,39,16390,9561,6829
855,Leicestershire,8553334,St Peters Church of England Primary Academy,219,18190,10611,7579
855,Leicestershire,8553336,"Saint Peters Catholic Primary School, A Voluntary Academy",179,17790,10378,7412
855,Leicestershire,8553339,"Saint Winefrides Catholic Voluntary Academy, Shepshed, Leicestershire",145,17450,10179,7271
855,Leicestershire,8553340,Holy Cross School A Catholic Voluntary Academy,132,17320,10103,7217
855,Leicestershire,8553341,Sacred Heart Catholic Voluntary Academy,177,17770,10366,7404
855,Leicestershire,8553343,"Saint John Fisher Catholic Voluntary Academy, Wigston, Leicestershire",181,17810,10389,7421
855,Leicestershire,8553347,St Josephs Catholic Voluntary Academy,184,17840,10407,7433
855,Leicestershire,8553348,"Saint Clares Primary School A Catholic Voluntary Academy, Coalville, Leicestershire",165,17650,10296,7354
855,Leicestershire,8553432,St Peter and St Paul Church of England Academy,315,19150,11171,7979
855,Leicestershire,8553433,"Saint Marys Catholic Primary School, Loughborough",180,17800,10383,7417
855,Leicestershire,8553434,Loughborough Church of England Primary School,175,17750,10354,7396
855,Leicestershire,8557005,Wigston Birkett House Community Special School,85,16850,9829,7021
855,Leicestershire,8557008,Forest Way School,86,16860,9835,7025
855,Leicestershire,8557216,Dorothy Goodman School Hinckley,101,17010,9923,7087
855,Leicestershire,8552189,Brookside Primary School,379,19790,11544,8246
855,Leicestershire,8552384,Woodland Grange Primary School,390,19900,11608,8292
855,Leicestershire,8552038,Blaby Stokes Church of England Primary School,348,19480,11363,8117
855,Leicestershire,8553044,Houghton-on-the-Hill Church of England Primary School,174,17740,10348,7392
855,Leicestershire,8553330,Richard Hill Church of England Primary School,155,17550,10238,7312
855,Leicestershire,8553331,All Saints Church of England Primary School,230,18300,10675,7625
855,Leicestershire,8553335,Saint Peters Catholic Voluntary Academy,177,17770,10366,7404
855,Leicestershire,8553338,St Charles Catholic Primary Voluntary Academy,110,17100,9975,7125
855,Leicestershire,8553342,Saint Francis Catholic Primary School,215,18150,10588,7562
855,Leicestershire,8552030,"Hallam Fields, Birstall",30,16300,9508,6792
855,Leicestershire,8552034,Dunton Bassett Primary School,85,16850,9829,7021
855,Leicestershire,8553000,Arnesby Church of England Primary School,52,16520,9637,6883
855,Leicestershire,8553027,Croft Church of England Primary School,104,17040,9940,7100
855,Leicestershire,8553087,Manorfield Church of England Primary School,343,19430,11334,8096
855,Leicestershire,8553321,St Peters Church of England Primary School Whetstone,189,17890,10436,7454
856,Leicester,8562001,Krishna Avanti Primary School,360,19600,11433,8167
856,Leicester,8562002,Queensmead Primary Academy,363,19630,11451,8179
856,Leicester,8562003,Falcons Primary School,214,18140,10582,7558
856,Leicester,8562004,Mowmacre Hill Primary School,289,18890,11019,7871
856,Leicester,8562005,Northfield House Primary Academy,341,19410,11323,8087
856,Leicester,8562006,Humberstone Infant Academy,177,17770,10366,7404
856,Leicester,8562007,Uplands Junior L.E.A.D Academy,481,20810,12139,8671
856,Leicester,8562008,Heatherbrook Primary Academy,156,17560,10243,7317
856,Leicester,8562237,Humberstone Junior School,358,19580,11422,8158
856,Leicester,8562265,Merrydale Junior School,366,19660,11468,8192
856,Leicester,8562323,Woodstock Primary Academy,372,19720,11503,8217
856,Leicester,8562324,Rowlatts Hill Primary Academy,271,18710,10914,7796
856,Leicester,8562327,Willowbrook Primary Academy,363,19630,11451,8179
856,Leicester,8562328,Thurnby Lodge Primary Academy,196,17960,10477,7483
856,Leicester,8562340,Knighton Fields Primary Academy,179,17790,10378,7412
856,Leicester,8562366,Forest Lodge Academy,444,20440,11923,8517
856,Leicester,8563422,Sacred Heart Catholic Voluntary Academy,357,19570,11416,8154
856,Leicester,8563424,St Josephs Catholic Academy,234,18340,10698,7642
856,Leicester,8563426,St Thomas More Catholic Voluntary Academy,238,18380,10722,7658
856,Leicester,8563434,Braunstone Community Primary School,359,19590,11428,8162
856,Leicester,8564004,"Tudor Grange Samworth Academy, A church of England School",338,19380,11305,8075
856,Leicester,8567003,Ash Field Academy,73,16730,9759,6971
856,Leicester,8562262,Overdale Infant School,239,18390,10728,7662
856,Leicester,8562263,Overdale Junior School,425,20250,11813,8437
856,Leicester,8563420,Christ the King Catholic Voluntary Academy,439,20390,11894,8496
856,Leicester,8563432,Hope Hamilton CofE Primary School,348,19480,11363,8117
856,Leicester,8562071,Highfields Primary School,277,18770,10949,7821
856,Leicester,8562229,Green Lane Infant School,176,17760,10360,7400
856,Leicester,8562299,Uplands Infant School,236,18360,10710,7650
856,Leicester,8562370,Sparkenhoe Community Primary School,391,19910,11614,8296
856,Leicester,8563423,Saint Patricks Catholic Voluntary Academy,180,17800,10383,7417
856,Leicester,8563425,"Holy Cross Catholic School, a Voluntary Academy",188,17880,10430,7450
857,Rutland,8572000,Ryhall CofE Academy,154,17540,10232,7308
857,Rutland,8572001,Cottesmore Academy,134,17340,10115,7225
857,Rutland,8572312,Edith Weston Academy,64,16640,9707,6933
857,Rutland,8572313,Catmose Primary,178,17780,10372,7408
857,Rutland,8572316,Brooke Hill Academy,269,18690,10903,7787
857,Rutland,8573112,Exton and Greetham CofE Primary School,39,16390,9561,6829
857,Rutland,8573113,Ketton Church of England Primary School,164,17640,10290,7350
857,Rutland,8573114,Langham CofE (Controlled) Primary School,180,17800,10383,7417
857,Rutland,8573117,Whissendine Church of England Primary School,167,17670,10308,7362
857,Rutland,8573428,St Nicholas Church of England Primary School,130,17300,10092,7208
857,Rutland,8573429,English Martyrs Catholic Primary School,112,17120,9987,7133
857,Rutland,8575200,Leighfield Primary School,164,17640,10290,7350
857,Rutland,8573111,Empingham Church of England Primary School,53,16530,9643,6887
857,Rutland,8573119,Uppingham Church of England Primary School,152,17520,10220,7300
857,Rutland,8573120,Great Casterton Church of England Primary School,88,16880,9847,7033
860,Staffordshire,8602001,Anglesey Primary Academy,498,20980,12238,8742
860,Staffordshire,8602002,Scientia Academy,279,18790,10961,7829
860,Staffordshire,8602003,Landau Forte Academy Greenacres,330,19300,11258,8042
860,Staffordshire,8602036,Kidsgrove Primary School,144,17440,10173,7267
860,Staffordshire,8602005,Churchfields Primary School,268,18680,10897,7783
860,Staffordshire,8602006,Veritas Primary Academy,227,18270,10658,7612
860,Staffordshire,8602007,Silverdale Primary Academy,133,17330,10109,7221
860,Staffordshire,8602008,Springhill Primary Academy,142,17420,10162,7258
860,Staffordshire,8602009,Norton Canes Primary Academy,199,17990,10494,7496
860,Staffordshire,8602010,Heath Hayes Primary Academy,154,17540,10232,7308
860,Staffordshire,8602011,Havergal CofE (C) Primary School,141,17410,10156,7254
860,Staffordshire,8602012,Moorgate Primary Academy,223,18230,10634,7596
860,Staffordshire,8602013,Rowley Park Primary Academy,143,17430,10168,7262
860,Staffordshire,8602014,John Wheeldon Primary Academy,440,20400,11900,8500
860,Staffordshire,8602015,Kingfisher Academy,173,17730,10343,7387
860,Staffordshire,8602016,Five Spires Academy,59,16590,9678,6912
860,Staffordshire,8602017,Three Peaks Primary Academy,323,19230,11218,8012
860,Staffordshire,8602018,Silkmore Primary Academy,151,17510,10214,7296
860,Staffordshire,8602019,Knutton St Marys CofE Academy,200,18000,10500,7500
860,Staffordshire,8602020,Horninglow Primary: A de Ferrers Trust Academy,174,17740,10348,7392
860,Staffordshire,8602022,Thursfield Primary School,238,18380,10722,7658
860,Staffordshire,8602025,St Benedict Biscop CofE Primary School,169,17690,10319,7371
860,Staffordshire,8602026,Picknalls First School,218,18180,10605,7575
860,Staffordshire,8602027,Chadsmead Primary Academy,265,18650,10879,7771
860,Staffordshire,8602028,Gentleshaw Primary Academy,115,17150,10004,7146
860,Staffordshire,8602030,Bishop Rawle CofE (A) Primary School,127,17270,10074,7196
860,Staffordshire,8602031,Dosthill Primary School,517,21170,12349,8821
860,Staffordshire,8602124,Grange School,105,17050,9946,7104
860,Staffordshire,8602128,Lansdowne: A de Ferrers Trust Academy,115,17150,10004,7146
860,Staffordshire,8602141,The Violet Way Academy,176,17760,10360,7400
860,Staffordshire,8602145,Eton Park Junior: A de Ferrers Trust Academy,210,18100,10558,7542
860,Staffordshire,8602152,The Mosley Academy,134,17340,10115,7225
860,Staffordshire,8602160,Thomas Russell Infants School,127,17270,10074,7196
860,Staffordshire,8602167,Rykneld Primary School,460,20600,12017,8583
860,Staffordshire,8602195,Birches First School,119,17190,10028,7162
860,Staffordshire,8602200,The Howard Primary School,49,16490,9619,6871
